datestop,sex,race,age,city
1012005,M,B,28,STATEN ISLAND
1012005,M,Z,44,STATEN ISLAND
4212005,M,Q,23,STATEN ISLAND
12112005,M,Q,26,STATEN ISLAND
12132005,F,Z,48,STATEN ISLAND
12142005,M,B,27,STATEN ISLAND
12142005,M,B,42,STATEN ISLAND
12152005,M,W,18,STATEN ISLAND
12152005,M,W,18,STATEN ISLAND
12152005,M,W,28,STATEN ISLAND
12172005,M,W,17,STATEN ISLAND
12292005,M,W,28,STATEN ISLAND
12302005,M,W,17,STATEN ISLAND
12312005,M,B,58,STATEN ISLAND
1012005,M,B,40,QUEENS
1012005,M,B,35,QUEENS
1012005,M,B,35,QUEENS
1012005,M,B,22,QUEENS
1012005,M,W,56,QUEENS
1012005,M,A,20,QUEENS
1012005,M,A,20,QUEENS
1012005,M,A,20,QUEENS
1012005,M,W,23,QUEENS
1012005,M,Z,18,QUEENS
1022005,M,Z,26,QUEENS
1022005,M,B,19,QUEENS
1022005,M,B,26,QUEENS
1032005,M,Q,24,QUEENS
1032005,M,Q,25,QUEENS
1032005,M,B,49,QUEENS
1032005,M,Q,23,QUEENS
1032005,M,Q,27,QUEENS
1032005,M,Q,27,QUEENS
1032005,M,W,27,QUEENS
1042005,Z,Z,18,QUEENS
1042005,M,B,37,QUEENS
1042005,M,Q,63,QUEENS
1042005,F,P,36,QUEENS
1042005,F,P,34,QUEENS
1042005,M,Q,17,QUEENS
1042005,M,Q,19,QUEENS
1042005,M,Q,15,QUEENS
1042005,Z,Q,20,QUEENS
1052005,M,B,25,QUEENS
1052005,M,B,27,QUEENS
1052005,M,B,54,QUEENS
1052005,F,W,29,QUEENS
1052005,M,W,19,QUEENS
1062005,M,Q,15,QUEENS
1072005,M,B,28,QUEENS
1122005,F,Z,37,QUEENS
1132005,M,B,28,QUEENS
2112005,M,B,27,QUEENS
2202005,M,B,16,QUEENS
2202005,M,B,15,QUEENS
2202005,M,Q,18,QUEENS
2202005,M,Q,15,QUEENS
2202005,M,Q,17,QUEENS
2212005,M,B,46,QUEENS
2212005,M,W,50,QUEENS
3212005,M,B,19,QUEENS
