datestop,sex,race,age,city
3222005,M,B,20,QUEENS
3222005,M,B,18,QUEENS
3222005,M,W,16,QUEENS
4222005,M,B,44,QUEENS
4222005,M,Q,22,QUEENS
4252005,M,B,17,QUEENS
5032005,M,Q,15,QUEENS
5202005,M,A,18,QUEENS
5202005,M,Q,13,QUEENS
5292005,M,Q,15,QUEENS
5292005,M,Q,13,QUEENS
6092005,M,A,34,QUEENS
6182005,M,B,33,QUEENS
6202005,M,W,57,QUEENS
7192005,M,B,39,QUEENS
8172005,M,B,44,QUEENS
9102005,M,Z,15,QUEENS
9202005,M,W,40,QUEENS
9222005,M,Q,35,QUEENS
9222005,M,Q,59,QUEENS
10032005,M,Q,17,QUEENS
10032005,M,Q,15,QUEENS
10052005,M,Q,20,QUEENS
10252005,M,P,24,QUEENS
10252005,M,Q,22,QUEENS
10252005,M,Q,18,QUEENS
10282005,M,Z,42,QUEENS
10292005,M,Q,25,QUEENS
11072005,M,B,17,QUEENS
11072005,M,B,21,QUEENS
11072005,M,B,18,QUEENS
11082005,M,Q,25,QUEENS
11102005,M,Q,12,QUEENS
11112005,M,A,15,QUEENS
11112005,M,W,47,QUEENS
11112005,M,W,41,QUEENS
11122005,M,W,19,QUEENS
11132005,F,W,48,QUEENS
11132005,M,B,28,QUEENS
11132005,M,P,39,QUEENS
11132005,M,W,26,QUEENS
11142005,M,W,47,QUEENS
11142005,M,W,34,QUEENS
11142005,M,B,20,QUEENS
11152005,M,W,17,QUEENS
11162005,M,B,15,QUEENS
11162005,M,Q,26,QUEENS
11162005,M,Q,26,QUEENS
11172005,M,B,21,QUEENS
11182005,M,W,17,QUEENS
11192005,M,Q,31,QUEENS
11212005,M,W,41,QUEENS
11212005,M,B,17,QUEENS
11252005,M,P,29,QUEENS
11262005,M,P,22,QUEENS
11272005,M,B,20,QUEENS
11272005,M,B,20,QUEENS
11272005,M,B,25,QUEENS
11282005,M,B,14,QUEENS
11282005,M,B,26,QUEENS
11292005,M,Q,17,QUEENS
11292005,M,Q,38,QUEENS
11302005,M,B,11,QUEENS
12012005,M,W,35,QUEENS
12012005,M,B,18,QUEENS
12032005,M,A,22,QUEENS
12032005,M,B,23,QUEENS
12032005,M,B,18,QUEENS
12032005,M,B,24,QUEENS
12032005,M,Q,20,QUEENS
12032005,M,Q,16,QUEENS
12032005,M,Q,16,QUEENS
12052005,M,Z,23,QUEENS
12052005,M,B,24,QUEENS
12052005,M,B,19,QUEENS
12052005,F,W,15,QUEENS
12052005,M,W,21,QUEENS
12052005,M,W,15,QUEENS
12052005,M,B,55,QUEENS
12052005,M,B,41,QUEENS
12052005,M,B,25,QUEENS
12052005,M,B,27,QUEENS
12052005,M,B,20,QUEENS
12052005,M,B,17,QUEENS
12052005,M,Q,22,QUEENS
12052005,M,B,22,QUEENS
12052005,F,B,22,QUEENS
12052005,M,Q,30,QUEENS
12052005,M,B,52,QUEENS
12052005,M,B,44,QUEENS
12062005,Z,Z,34,QUEENS
12062005,M,B,19,QUEENS
12062005,M,Q,23,QUEENS
12062005,M,Q,19,QUEENS
12062005,M,B,50,QUEENS
12062005,M,B,48,QUEENS
12062005,M,B,51,QUEENS
12062005,M,B,18,QUEENS
12062005,M,B,15,QUEENS
12062005,M,Q,15,QUEENS
12062005,M,Q,14,QUEENS
12062005,M,B,15,QUEENS
12062005,M,B,46,QUEENS
12062005,M,B,25,QUEENS
12062005,M,B,19,QUEENS
12062005,M,B,19,QUEENS
12062005,M,W,27,QUEENS
12062005,M,Z,26,QUEENS
12062005,M,B,37,QUEENS
12062005,M,B,22,QUEENS
12062005,M,Q,19,QUEENS
12072005,M,Q,38,QUEENS
12072005,M,B,62,QUEENS
12072005,M,Q,41,QUEENS
12072005,M,W,32,QUEENS
12072005,M,Q,40,QUEENS
12072005,M,Q,30,QUEENS
12072005,M,Q,23,QUEENS
12072005,M,W,40,QUEENS
12072005,M,B,31,QUEENS
12072005,M,Z,15,QUEENS
12072005,M,Z,15,QUEENS
12072005,M,P,17,QUEENS
12072005,M,Z,15,QUEENS
12072005,M,Z,17,QUEENS
12072005,M,B,16,QUEENS
12072005,M,B,75,QUEENS
12072005,M,Q,28,QUEENS
12072005,M,W,27,QUEENS
12072005,M,Q,32,QUEENS
12072005,M,B,17,QUEENS
12072005,M,B,36,QUEENS
12072005,M,P,16,QUEENS
12072005,M,P,16,QUEENS
12072005,M,W,18,QUEENS
12072005,M,W,24,QUEENS
12072005,M,W,30,QUEENS
12072005,M,Q,36,QUEENS
12072005,M,B,60,QUEENS
12072005,M,B,26,QUEENS
12082005,M,B,31,QUEENS
12082005,M,B,25,QUEENS
12082005,M,B,31,QUEENS
12082005,M,B,33,QUEENS
12082005,F,Q,33,QUEENS
12082005,M,B,35,QUEENS
12082005,M,B,30,QUEENS
12082005,M,Q,25,QUEENS
12082005,M,B,24,QUEENS
12082005,M,B,22,QUEENS
12082005,M,A,18,QUEENS
12082005,M,A,24,QUEENS
12082005,M,Q,30,QUEENS
12082005,F,B,20,QUEENS
12082005,M,B,20,QUEENS
12082005,M,B,15,QUEENS
12082005,F,A,19,QUEENS
12082005,M,A,20,QUEENS
12082005,M,A,16,QUEENS
12082005,M,A,16,QUEENS
12082005,M,A,16,QUEENS
12082005,M,A,19,QUEENS
12082005,M,B,18,QUEENS
12082005,M,B,18,QUEENS
12082005,M,B,16,QUEENS
12082005,M,B,18,QUEENS
12082005,M,Q,26,QUEENS
12082005,M,B,32,QUEENS
12082005,M,B,24,QUEENS
12082005,M,Z,55,QUEENS
12082005,M,W,45,QUEENS
12082005,M,Q,16,QUEENS
12082005,M,W,24,QUEENS
12082005,M,Q,18,QUEENS
12082005,M,B,26,QUEENS
12082005,M,Q,41,QUEENS
12092005,M,W,17,QUEENS
12092005,M,W,22,QUEENS
12092005,M,Z,17,QUEENS
12092005,M,B,38,QUEENS
12092005,M,W,22,QUEENS
12092005,M,B,36,QUEENS
12092005,M,B,36,QUEENS
12092005,M,B,24,QUEENS
12092005,M,B,70,QUEENS
12092005,M,B,19,QUEENS
12092005,M,B,32,QUEENS
12092005,F,B,17,QUEENS
12092005,M,B,19,QUEENS
12092005,M,B,32,QUEENS
12092005,M,B,21,QUEENS
12092005,M,A,39,QUEENS
12092005,M,B,19,QUEENS
12092005,F,B,16,QUEENS
12092005,M,B,41,QUEENS
12092005,M,W,25,QUEENS
12092005,M,B,43,QUEENS
12092005,M,B,14,QUEENS
12092005,M,B,20,QUEENS
12092005,M,B,20,QUEENS
12092005,M,B,47,QUEENS
12092005,M,W,21,QUEENS
12102005,M,B,33,QUEENS
12102005,M,B,17,QUEENS
12102005,M,Q,16,QUEENS
12102005,M,Q,21,QUEENS
12102005,M,Q,18,QUEENS
12102005,M,Q,18,QUEENS
12102005,M,B,18,QUEENS
12102005,M,Q,40,QUEENS
12102005,M,A,28,QUEENS
12102005,M,B,46,QUEENS
12102005,M,B,38,QUEENS
12102005,M,B,29,QUEENS
12102005,M,B,54,QUEENS
12102005,M,A,45,QUEENS
12102005,M,W,65,QUEENS
12102005,M,B,26,QUEENS
12102005,M,B,18,QUEENS
12102005,M,B,19,QUEENS
12102005,M,B,16,QUEENS
12102005,M,Q,21,QUEENS
12102005,M,B,17,QUEENS
12102005,M,W,16,QUEENS
12102005,M,B,20,QUEENS
12102005,M,B,19,QUEENS
12102005,M,B,16,QUEENS
12102005,M,B,17,QUEENS
12102005,M,B,17,QUEENS
12102005,M,B,16,QUEENS
12102005,M,B,20,QUEENS
12102005,M,B,13,QUEENS
12102005,M,B,15,QUEENS
12102005,M,B,16,QUEENS
12102005,M,Q,22,QUEENS
12102005,M,Q,26,QUEENS
12102005,M,P,21,QUEENS
12102005,M,A,22,QUEENS
12102005,M,A,25,QUEENS
12102005,M,A,21,QUEENS
12102005,M,A,23,QUEENS
12102005,M,B,18,QUEENS
12102005,M,A,21,QUEENS
12102005,M,A,30,QUEENS
12102005,M,A,22,QUEENS
12102005,Z,Z,34,QUEENS
12102005,M,A,27,QUEENS
12102005,M,W,16,QUEENS
12102005,M,P,23,QUEENS
12102005,M,Q,20,QUEENS
12102005,M,Q,25,QUEENS
12112005,M,B,20,QUEENS
12112005,F,W,22,QUEENS
12112005,M,B,16,QUEENS
12112005,M,P,14,QUEENS
12112005,Z,Z,17,QUEENS
12112005,M,B,25,QUEENS
12112005,M,W,22,QUEENS
12112005,M,A,19,QUEENS
12112005,M,B,34,QUEENS
12112005,M,B,39,QUEENS
12112005,M,B,16,QUEENS
12112005,M,B,32,QUEENS
12112005,M,B,30,QUEENS
12112005,M,B,29,QUEENS
12112005,M,A,55,QUEENS
12112005,M,Z,35,QUEENS
12112005,M,B,14,QUEENS
12112005,M,B,40,QUEENS
12112005,M,Q,24,QUEENS
12112005,M,B,34,QUEENS
12112005,M,B,45,QUEENS
12112005,M,B,31,QUEENS
12112005,M,B,32,QUEENS
12112005,F,B,38,QUEENS
12112005,M,B,41,QUEENS
12112005,F,B,30,QUEENS
12112005,M,B,38,QUEENS
12112005,M,B,19,QUEENS
12112005,M,B,47,QUEENS
12112005,M,B,22,QUEENS
12112005,M,P,62,QUEENS
12112005,Z,Z,18,QUEENS
12112005,M,B,45,QUEENS
12112005,M,B,27,QUEENS
12112005,M,B,25,QUEENS
12112005,M,B,26,QUEENS
12112005,F,B,15,QUEENS
12112005,F,Q,24,QUEENS
12112005,M,B,17,QUEENS
12112005,M,B,17,QUEENS
12112005,M,B,22,QUEENS
12112005,M,B,16,QUEENS
12112005,M,B,16,QUEENS
12112005,M,B,38,QUEENS
12112005,M,B,20,QUEENS
12112005,M,B,37,QUEENS
12112005,M,B,22,QUEENS
12112005,M,Q,27,QUEENS
12112005,M,B,20,QUEENS
12112005,M,B,21,QUEENS
12112005,M,Q,35,QUEENS
12112005,F,B,43,QUEENS
12112005,M,Z,34,QUEENS
12112005,M,B,18,QUEENS
12112005,M,B,16,QUEENS
12112005,M,B,16,QUEENS
12112005,M,Q,19,QUEENS
12112005,M,B,33,QUEENS
12112005,M,B,31,QUEENS
12112005,M,B,20,QUEENS
12112005,M,B,24,QUEENS
12122005,M,B,22,QUEENS
12122005,M,B,27,QUEENS
12122005,M,B,22,QUEENS
12122005,M,B,29,QUEENS
12122005,M,B,23,QUEENS
12122005,M,B,40,QUEENS
12122005,F,B,17,QUEENS
12122005,M,B,18,QUEENS
12122005,M,B,16,QUEENS
12122005,M,B,30,QUEENS
12122005,M,B,38,QUEENS
12122005,M,B,21,QUEENS
12122005,M,Z,18,QUEENS
12122005,F,A,15,QUEENS
12122005,M,Z,48,QUEENS
12122005,M,Q,36,QUEENS
12122005,M,B,15,QUEENS
12122005,M,B,28,QUEENS
12122005,M,B,25,QUEENS
12122005,M,B,22,QUEENS
12122005,M,B,17,QUEENS
12122005,M,B,15,QUEENS
12122005,M,B,32,QUEENS
12132005,M,P,28,QUEENS
12132005,M,B,29,QUEENS
12132005,M,A,46,QUEENS
12132005,M,Q,63,QUEENS
12132005,M,B,38,QUEENS
12132005,M,Z,39,QUEENS
12132005,M,B,32,QUEENS
12132005,M,B,29,QUEENS
12132005,M,B,26,QUEENS
12132005,M,Q,17,QUEENS
12132005,M,B,43,QUEENS
12132005,M,B,25,QUEENS
12132005,M,B,25,QUEENS
12132005,M,B,23,QUEENS
12132005,M,B,24,QUEENS
12132005,M,Q,25,QUEENS
12132005,M,Z,24,QUEENS
12132005,M,B,24,QUEENS
12132005,M,Q,36,QUEENS
12132005,M,B,22,QUEENS
12132005,M,B,17,QUEENS
12132005,M,B,30,QUEENS
12132005,M,B,25,QUEENS
12132005,M,B,27,QUEENS
12142005,M,Q,36,QUEENS
12142005,M,Q,18,QUEENS
12142005,M,Q,17,QUEENS
12142005,F,Q,42,QUEENS
12142005,M,B,45,QUEENS
12142005,M,B,17,QUEENS
12142005,M,B,24,QUEENS
12142005,M,B,22,QUEENS
12142005,M,B,40,QUEENS
12142005,M,Q,38,QUEENS
12142005,F,B,27,QUEENS
12142005,M,Q,16,QUEENS
12142005,M,B,16,QUEENS
12142005,M,B,36,QUEENS
12142005,M,B,16,QUEENS
12142005,M,B,15,QUEENS
12142005,M,B,49,QUEENS
12142005,M,B,15,QUEENS
12142005,M,B,17,QUEENS
12142005,M,B,18,QUEENS
12142005,M,B,15,QUEENS
12142005,M,B,17,QUEENS
12142005,M,B,18,QUEENS
12142005,M,P,12,QUEENS
12142005,M,Q,13,QUEENS
12142005,M,B,22,QUEENS
12142005,F,B,18,QUEENS
12142005,M,B,18,QUEENS
12142005,F,W,14,QUEENS
12142005,M,B,12,QUEENS
12142005,M,B,13,QUEENS
12142005,M,B,14,QUEENS
12142005,M,B,15,QUEENS
12142005,M,P,14,QUEENS
12142005,F,B,41,QUEENS
12142005,M,W,28,QUEENS
12142005,M,B,25,QUEENS
12142005,M,B,13,QUEENS
12142005,M,B,16,QUEENS
12142005,M,B,15,QUEENS
12142005,M,B,17,QUEENS
12142005,M,B,17,QUEENS
12142005,M,B,48,QUEENS
12142005,M,B,18,QUEENS
12142005,M,B,17,QUEENS
12142005,M,B,16,QUEENS
12142005,M,B,17,QUEENS
12142005,M,P,18,QUEENS
12142005,M,B,15,QUEENS
12142005,M,B,23,QUEENS
12142005,M,B,19,QUEENS
12142005,M,W,16,QUEENS
12142005,M,A,41,QUEENS
12152005,M,B,33,QUEENS
12152005,M,B,53,QUEENS
12152005,M,B,26,QUEENS
12152005,M,Q,56,QUEENS
12152005,M,W,19,QUEENS
12152005,M,B,30,QUEENS
12152005,M,B,26,QUEENS
12152005,M,B,24,QUEENS
12152005,M,B,20,QUEENS
12152005,M,B,23,QUEENS
12152005,M,B,31,QUEENS
12152005,M,B,27,QUEENS
12152005,M,B,46,QUEENS
12152005,M,B,42,QUEENS
12152005,M,B,47,QUEENS
12152005,M,B,28,QUEENS
12152005,M,B,13,QUEENS
12152005,M,B,23,QUEENS
12152005,M,Z,22,QUEENS
12152005,M,B,30,QUEENS
12152005,M,B,22,QUEENS
12162005,M,B,34,QUEENS
12162005,M,Q,20,QUEENS
12162005,M,Q,19,QUEENS
12162005,M,Q,20,QUEENS
12162005,M,Q,20,QUEENS
12162005,M,W,21,QUEENS
12162005,M,Q,18,QUEENS
12162005,M,B,34,QUEENS
12162005,M,B,17,QUEENS
12162005,M,B,14,QUEENS
12162005,M,B,19,QUEENS
12162005,M,B,43,QUEENS
12162005,M,B,33,QUEENS
12162005,M,B,14,QUEENS
12162005,M,B,19,QUEENS
12162005,M,Q,45,QUEENS
12162005,M,B,16,QUEENS
12162005,M,B,25,QUEENS
12162005,M,B,18,QUEENS
12162005,M,B,47,QUEENS
12162005,M,W,37,QUEENS
12162005,M,B,46,QUEENS
12162005,M,B,31,QUEENS
12162005,M,Q,24,QUEENS
12162005,M,B,15,QUEENS
12162005,M,B,14,QUEENS
12162005,M,W,35,QUEENS
12162005,M,B,19,QUEENS
12162005,M,B,17,QUEENS
12162005,F,B,39,QUEENS
12162005,M,B,43,QUEENS
12162005,M,B,26,QUEENS
12162005,M,B,29,QUEENS
12162005,M,B,36,QUEENS
12162005,M,B,24,QUEENS
12162005,M,B,40,QUEENS
12162005,M,B,40,QUEENS
12162005,M,B,44,QUEENS
12162005,M,B,40,QUEENS
12162005,M,B,17,QUEENS
12162005,M,P,16,QUEENS
12162005,M,B,17,QUEENS
12162005,M,B,16,QUEENS
12162005,M,B,17,QUEENS
12162005,M,B,17,QUEENS
12172005,M,B,29,QUEENS
12172005,M,B,21,QUEENS
12172005,M,Q,22,QUEENS
12172005,M,W,43,QUEENS
12172005,M,B,23,QUEENS
12172005,M,Q,21,QUEENS
12172005,M,Q,24,QUEENS
12172005,M,B,31,QUEENS
12172005,M,B,30,QUEENS
12172005,M,B,18,QUEENS
12172005,M,B,17,QUEENS
12172005,M,B,23,QUEENS
12172005,M,A,31,QUEENS
12172005,M,B,18,QUEENS
12172005,M,B,24,QUEENS
12172005,F,B,19,QUEENS
12172005,M,B,20,QUEENS
12172005,M,B,40,QUEENS
12172005,M,B,29,QUEENS
12172005,M,B,19,QUEENS
12172005,M,B,19,QUEENS
12172005,M,B,20,QUEENS
12172005,M,B,49,QUEENS
12172005,M,B,52,QUEENS
12172005,M,B,17,QUEENS
12172005,M,B,27,QUEENS
12172005,M,B,17,QUEENS
12172005,M,B,41,QUEENS
12172005,M,B,28,QUEENS
12172005,M,B,34,QUEENS
12172005,M,B,40,QUEENS
12172005,M,B,27,QUEENS
12172005,M,B,34,QUEENS
12172005,M,B,33,QUEENS
12172005,M,W,15,QUEENS
12172005,M,W,15,QUEENS
12172005,M,B,29,QUEENS
12172005,M,Q,36,QUEENS
12172005,M,Q,37,QUEENS
12172005,M,B,20,QUEENS
12172005,M,B,18,QUEENS
12172005,F,B,19,QUEENS
12172005,M,B,21,QUEENS
12172005,M,B,22,QUEENS
12172005,M,B,43,QUEENS
12172005,M,B,20,QUEENS
12172005,M,B,22,QUEENS
12172005,M,B,16,QUEENS
12172005,M,B,20,QUEENS
12172005,M,Q,15,QUEENS
12172005,M,Q,16,QUEENS
12172005,M,Z,17,QUEENS
12172005,M,B,63,QUEENS
12172005,M,B,24,QUEENS
12172005,M,B,25,QUEENS
12172005,M,B,15,QUEENS
12172005,M,B,16,QUEENS
12172005,M,B,17,QUEENS
12172005,M,B,28,QUEENS
12172005,M,B,44,QUEENS
12182005,F,B,23,QUEENS
12182005,M,B,26,QUEENS
12182005,M,A,22,QUEENS
12182005,M,P,17,QUEENS
12182005,M,Q,16,QUEENS
12182005,M,Q,19,QUEENS
12182005,Z,Z,21,QUEENS
12182005,M,B,17,QUEENS
12182005,M,B,18,QUEENS
12182005,M,B,18,QUEENS
12182005,M,W,65,QUEENS
12182005,M,B,22,QUEENS
12182005,M,P,16,QUEENS
12182005,M,B,33,QUEENS
12182005,M,B,27,QUEENS
12182005,M,A,22,QUEENS
12182005,M,B,19,QUEENS
12182005,M,B,19,QUEENS
12182005,M,W,45,QUEENS
12192005,M,A,47,QUEENS
12192005,M,B,43,QUEENS
12192005,M,B,29,QUEENS
12192005,M,B,34,QUEENS
12192005,M,A,58,QUEENS
12192005,M,W,25,QUEENS
12192005,M,B,37,QUEENS
12192005,M,Q,15,QUEENS
12192005,M,Q,16,QUEENS
12192005,M,B,14,QUEENS
12192005,M,B,16,QUEENS
12192005,M,B,31,QUEENS
12192005,M,B,15,QUEENS
12192005,M,B,19,QUEENS
12192005,M,B,15,QUEENS
12192005,M,B,15,QUEENS
12192005,M,B,16,QUEENS
12192005,M,B,18,QUEENS
12192005,M,B,26,QUEENS
12192005,M,W,27,QUEENS
12202005,M,B,31,QUEENS
12202005,F,B,18,QUEENS
12202005,M,B,19,QUEENS
12202005,M,B,35,QUEENS
12202005,M,B,20,QUEENS
12202005,F,B,16,QUEENS
12202005,F,Q,17,QUEENS
12202005,M,B,22,QUEENS
12202005,Z,Z,20,QUEENS
12202005,M,B,22,QUEENS
12202005,M,B,49,QUEENS
12202005,M,Q,19,QUEENS
12202005,F,Q,20,QUEENS
12202005,M,B,36,QUEENS
12202005,M,B,25,QUEENS
12202005,M,B,40,QUEENS
12202005,M,B,15,QUEENS
12202005,M,B,20,QUEENS
12202005,M,B,32,QUEENS
12202005,M,B,25,QUEENS
12202005,M,Q,18,QUEENS
12202005,M,B,25,QUEENS
12202005,M,B,14,QUEENS
12202005,Z,Q,21,QUEENS
12202005,Z,Q,20,QUEENS
12212005,M,Q,18,QUEENS
12212005,M,Q,33,QUEENS
12212005,M,Q,19,QUEENS
12212005,M,Q,23,QUEENS
12212005,Z,P,32,QUEENS
12212005,M,B,32,QUEENS
12212005,M,B,28,QUEENS
12212005,M,Q,58,QUEENS
12212005,M,B,43,QUEENS
12212005,M,W,29,QUEENS
12212005,M,B,31,QUEENS
12212005,M,B,29,QUEENS
12212005,M,B,25,QUEENS
12212005,M,B,17,QUEENS
12212005,M,B,21,QUEENS
12212005,M,B,39,QUEENS
12212005,M,B,40,QUEENS
12212005,M,P,39,QUEENS
12212005,Z,Z,19,QUEENS
12212005,M,B,19,QUEENS
12212005,F,B,15,QUEENS
12212005,M,B,14,QUEENS
12212005,M,B,20,QUEENS
12212005,M,B,15,QUEENS
12212005,M,B,19,QUEENS
12212005,M,B,24,QUEENS
12212005,M,B,18,QUEENS
12212005,F,B,44,QUEENS
12212005,M,B,24,QUEENS
12212005,M,Q,21,QUEENS
12212005,M,Q,16,QUEENS
12212005,M,Q,17,QUEENS
12212005,Z,Z,29,QUEENS
12212005,M,B,16,QUEENS
12212005,M,B,17,QUEENS
12212005,M,B,17,QUEENS
12212005,M,B,34,QUEENS
12212005,M,B,17,QUEENS
12212005,M,B,16,QUEENS
12212005,M,B,16,QUEENS
12212005,M,B,35,QUEENS
12212005,M,B,35,QUEENS
12212005,M,B,16,QUEENS
12212005,M,B,25,QUEENS
12212005,M,B,21,QUEENS
12212005,M,B,25,QUEENS
12222005,M,A,30,QUEENS
12222005,M,W,25,QUEENS
12222005,M,B,31,QUEENS
12222005,M,Q,42,QUEENS
12222005,M,B,20,QUEENS
12222005,M,B,29,QUEENS
12222005,M,B,39,QUEENS
12222005,M,B,38,QUEENS
12222005,M,B,23,QUEENS
12222005,M,B,41,QUEENS
12222005,M,B,28,QUEENS
12222005,M,B,39,QUEENS
12222005,M,W,17,QUEENS
12222005,M,Q,42,QUEENS
12222005,M,Q,19,QUEENS
12222005,M,B,15,QUEENS
12222005,M,Q,15,QUEENS
12222005,M,Z,16,QUEENS
12222005,M,B,15,QUEENS
12222005,M,B,15,QUEENS
12222005,M,B,16,QUEENS
12222005,M,B,19,QUEENS
12222005,M,B,18,QUEENS
12222005,M,B,17,QUEENS
12222005,M,B,22,QUEENS
12222005,M,B,15,QUEENS
12222005,M,B,16,QUEENS
12222005,M,B,17,QUEENS
12222005,M,A,30,QUEENS
12222005,M,B,28,QUEENS
12222005,F,B,42,QUEENS
12222005,F,B,26,QUEENS
12222005,M,B,18,QUEENS
12222005,M,B,18,QUEENS
12222005,M,B,22,QUEENS
12222005,M,Z,25,QUEENS
12222005,M,B,21,QUEENS
12222005,M,B,19,QUEENS
12222005,M,B,21,QUEENS
12222005,F,B,37,QUEENS
12222005,M,B,46,QUEENS
12222005,M,B,47,QUEENS
12222005,M,B,26,QUEENS
12232005,F,B,37,QUEENS
12232005,M,Q,31,QUEENS
12232005,M,Q,42,QUEENS
12232005,M,Q,22,QUEENS
12232005,M,B,44,QUEENS
12232005,M,Q,24,QUEENS
12232005,M,B,30,QUEENS
12232005,M,P,19,QUEENS
12232005,M,B,28,QUEENS
12232005,M,B,24,QUEENS
12232005,Z,Z,44,QUEENS
12232005,F,B,37,QUEENS
12232005,M,B,26,QUEENS
12232005,M,B,33,QUEENS
12232005,M,B,19,QUEENS
12232005,M,A,32,QUEENS
12232005,M,P,50,QUEENS
12232005,F,Q,32,QUEENS
12232005,M,B,13,QUEENS
12232005,F,B,32,QUEENS
12232005,M,B,19,QUEENS
12232005,M,B,21,QUEENS
12232005,M,B,31,QUEENS
12232005,M,B,15,QUEENS
12232005,M,B,15,QUEENS
12232005,M,B,17,QUEENS
12232005,M,B,30,QUEENS
12232005,M,W,27,QUEENS
12232005,M,Z,35,QUEENS
12232005,M,B,22,QUEENS
12232005,M,Q,25,QUEENS
12232005,M,B,23,QUEENS
12232005,M,B,36,QUEENS
12232005,M,B,17,QUEENS
12232005,Z,Z,17,QUEENS
12232005,M,B,23,QUEENS
12232005,M,B,33,QUEENS
12232005,M,B,17,QUEENS
12232005,M,B,19,QUEENS
12232005,M,B,19,QUEENS
12232005,M,B,23,QUEENS
12232005,M,P,19,QUEENS
12232005,M,B,31,QUEENS
12232005,M,B,47,QUEENS
12232005,M,B,17,QUEENS
12232005,M,Q,20,QUEENS
12232005,M,B,38,QUEENS
12232005,M,B,17,QUEENS
12232005,M,B,25,QUEENS
12232005,M,B,24,QUEENS
12232005,M,B,16,QUEENS
12232005,M,B,28,QUEENS
12232005,M,B,25,QUEENS
12232005,M,B,25,QUEENS
12232005,Z,Z,26,QUEENS
12242005,M,B,20,QUEENS
12242005,Z,Z,16,QUEENS
12242005,M,Q,38,QUEENS
12242005,M,B,24,QUEENS
12242005,M,B,22,QUEENS
12242005,M,B,24,QUEENS
12242005,M,B,22,QUEENS
12242005,M,P,27,QUEENS
12242005,M,B,39,QUEENS
12242005,M,B,32,QUEENS
12242005,M,B,24,QUEENS
12242005,M,B,20,QUEENS
12242005,M,W,56,QUEENS
12242005,M,Q,43,QUEENS
12242005,M,B,29,QUEENS
12242005,M,W,22,QUEENS
12242005,M,B,22,QUEENS
12242005,M,B,35,QUEENS
12252005,M,B,31,QUEENS
12252005,M,B,57,QUEENS
12262005,M,Q,16,QUEENS
12262005,M,B,46,QUEENS
12262005,M,B,20,QUEENS
12262005,M,A,37,QUEENS
12262005,M,Q,42,QUEENS
12262005,M,A,37,QUEENS
12262005,M,A,30,QUEENS
12262005,M,B,21,QUEENS
12262005,M,B,35,QUEENS
12262005,M,B,15,QUEENS
12262005,M,B,17,QUEENS
12262005,F,Q,22,QUEENS
12262005,F,Q,21,QUEENS
12262005,F,W,22,QUEENS
12262005,M,Q,21,QUEENS
12262005,M,Q,20,QUEENS
12262005,M,Q,20,QUEENS
12262005,M,B,24,QUEENS
12262005,M,B,24,QUEENS
12262005,M,Q,14,QUEENS
12262005,M,W,20,QUEENS
12262005,M,W,19,QUEENS
12262005,M,B,63,QUEENS
12262005,M,B,16,QUEENS
12262005,M,P,15,QUEENS
12262005,M,B,30,QUEENS
12262005,M,B,54,QUEENS
12262005,M,B,18,QUEENS
12262005,M,B,21,QUEENS
12262005,M,Q,33,QUEENS
