datestop,sex,race,age,city
08212004,M,B,25,BROOKLYN
09032004,Z,Z,28,BROOKLYN
09132004,M,B,30,BROOKLYN
09222004,M,B,22,BROOKLYN
09292004,M,B,23,BROOKLYN
11012004,M,B,40,BROOKLYN
11102004,M,B,26,BROOKLYN
12022004,M,Z,23,BROOKLYN
02082004,M,B,15,BROOKLYN
02142004,M,Q,28,BROOKLYN
02182004,M,Q,21,BROOKLYN
05312004,M,B,33,BROOKLYN
06192004,M,Z,25,BROOKLYN
06252004,M,B,33,BROOKLYN
08012004,M,B,15,BROOKLYN
08112004,M,B,21,BROOKLYN
09022004,M,B,38,BROOKLYN
01102004,M,W,61,BROOKLYN
01122004,M,B,19,BROOKLYN
02132004,M,Q,39,BROOKLYN
04082004,M,B,42,BROOKLYN
07292004,M,B,25,BROOKLYN
08032004,M,B,52,BROOKLYN
01182004,F,B,40,BROOKLYN
02062004,M,B,32,BROOKLYN
03152004,M,Z,15,BROOKLYN
05042004,M,Q,18,BROOKLYN
06022004,M,W,21,BROOKLYN
07212004,M,B,24,BROOKLYN
07262004,M,P,35,BROOKLYN
01072004,M,B,26,BROOKLYN
01092004,M,Q,19,BROOKLYN
01112004,Z,Z,21,BROOKLYN
01172004,Z,Z,21,BROOKLYN
01182004,M,Q,35,BROOKLYN
01252004,M,B,42,BROOKLYN
01262004,M,B,23,BROOKLYN
01272004,M,P,39,BROOKLYN
01292004,M,B,39,BROOKLYN
02022004,M,Q,24,BROOKLYN
02052004,M,Q,23,BROOKLYN
02052004,M,Z,20,BROOKLYN
02062004,M,B,62,BROOKLYN
02062004,M,B,20,BROOKLYN
02062004,M,Q,32,BROOKLYN
02072004,M,B,17,BROOKLYN
02072004,M,B,23,BROOKLYN
02082004,M,Q,26,BROOKLYN
02082004,M,Q,47,BROOKLYN
02082004,M,Z,27,BROOKLYN
02112004,Z,Z,18,BROOKLYN
02122004,F,B,53,BROOKLYN
02122004,F,Q,43,BROOKLYN
02132004,M,B,33,BROOKLYN
02152004,M,B,40,BROOKLYN
02152004,M,B,34,BROOKLYN
02182004,M,W,17,BROOKLYN
02192004,M,Q,16,BROOKLYN
02202004,M,B,34,BROOKLYN
02222004,M,B,22,BROOKLYN
02252004,M,Q,40,BROOKLYN
02262004,Z,Z,41,BROOKLYN
02282004,F,Z,30,BROOKLYN
02282004,M,B,43,BROOKLYN
02282004,M,Q,39,BROOKLYN
03022004,M,B,21,BROOKLYN
03042004,Z,Z,28,BROOKLYN
03062004,M,Z,17,BROOKLYN
03082004,M,B,36,BROOKLYN
03082004,Z,Z,43,BROOKLYN
03102004,M,Q,19,BROOKLYN
03122004,M,B,23,BROOKLYN
03132004,M,B,22,BROOKLYN
03132004,Z,Z,20,BROOKLYN
03162004,M,B,16,BROOKLYN
03192004,M,Q,17,BROOKLYN
03192004,M,Q,16,BROOKLYN
03192004,Z,Z,63,BROOKLYN
03272004,M,B,18,BROOKLYN
03282004,M,Q,28,BROOKLYN
04012004,M,B,44,BROOKLYN
04012004,M,B,16,BROOKLYN
04022004,M,B,30,BROOKLYN
04022004,M,B,25,BROOKLYN
04032004,M,Q,17,BROOKLYN
04072004,M,B,35,BROOKLYN
04112004,M,Q,24,BROOKLYN
04202004,M,B,18,BROOKLYN
04212004,Z,B,20,BROOKLYN
04222004,M,B,25,BROOKLYN
05022004,F,B,32,BROOKLYN
05022004,M,Z,41,BROOKLYN
05032004,M,B,23,BROOKLYN
05082004,M,B,35,BROOKLYN
05082004,M,B,24,BROOKLYN
05082004,M,B,28,BROOKLYN
05082004,M,B,34,BROOKLYN
05082004,M,Q,33,BROOKLYN
05142004,Z,Z,18,BROOKLYN
05192004,M,B,25,BROOKLYN
05222004,M,Z,21,BROOKLYN
05292004,M,B,15,BROOKLYN
06022004,M,B,19,BROOKLYN
06052004,F,B,30,BROOKLYN
06052004,M,B,22,BROOKLYN
06132004,M,B,17,BROOKLYN
06132004,M,B,17,BROOKLYN
06132004,M,P,21,BROOKLYN
06182004,M,Q,20,BROOKLYN
06192004,F,B,19,BROOKLYN
06202004,M,Q,40,BROOKLYN
06252004,M,B,15,BROOKLYN
06252004,M,B,13,BROOKLYN
06262004,M,B,53,BROOKLYN
06272004,M,Q,38,BROOKLYN
06272004,Z,Z,34,BROOKLYN
07062004,M,B,23,BROOKLYN
07082004,M,B,18,BROOKLYN
07192004,M,B,24,BROOKLYN
07232004,F,Q,17,BROOKLYN
07292004,M,B,18,BROOKLYN
08032004,M,B,20,BROOKLYN
08032004,M,Q,26,BROOKLYN
08032004,Z,Z,41,BROOKLYN
08162004,M,Q,43,BROOKLYN
08192004,M,B,50,BROOKLYN
08192004,M,Z,23,BROOKLYN
08222004,M,B,43,BROOKLYN
08242004,M,B,21,BROOKLYN
08242004,M,B,18,BROOKLYN
08252004,M,B,34,BROOKLYN
08272004,M,B,38,BROOKLYN
08312004,M,Q,43,BROOKLYN
08312004,M,W,44,BROOKLYN
09112004,M,B,54,BROOKLYN
09202004,M,B,19,BROOKLYN
09202004,M,B,18,BROOKLYN
09202004,M,B,15,BROOKLYN
10122004,F,B,20,BROOKLYN
10122004,M,B,30,BROOKLYN
10182004,M,B,17,BROOKLYN
11102004,Z,Z,24,BROOKLYN
11172004,M,Q,39,BROOKLYN
11302004,M,B,38,BROOKLYN
12182004,M,P,18,BROOKLYN
01272004,M,B,32,BROOKLYN
02012004,M,B,35,BROOKLYN
07232004,M,B,13,BROOKLYN
08252004,M,B,20,BROOKLYN
08252004,M,B,17,BROOKLYN
08252004,M,B,18,BROOKLYN
11232004,Z,Z,46,BROOKLYN
03062004,M,Q,34,BROOKLYN
06182004,M,B,16,BROOKLYN
06192004,M,B,14,BROOKLYN
06192004,M,Z,15,BROOKLYN
07232004,F,Z,18,BROOKLYN
07232004,M,P,21,BROOKLYN
10052004,M,B,31,BROOKLYN
01312004,M,A,32,BROOKLYN
03282004,M,Q,23,BROOKLYN
04162004,M,Q,36,BROOKLYN
04162004,Z,Q,32,BROOKLYN
05032004,M,B,67,BROOKLYN
11152004,M,Q,26,BROOKLYN
12182004,M,B,19,BROOKLYN
12182004,M,B,18,BROOKLYN
05042004,M,Q,34,BROOKLYN
01012004,M,B,25,BROOKLYN
01032004,F,B,39,BROOKLYN
01042004,M,B,19,BROOKLYN
01052004,M,Q,25,BROOKLYN
01082004,M,B,22,BROOKLYN
01082004,M,B,25,BROOKLYN
01102004,Z,Z,23,BROOKLYN
01122004,F,P,35,BROOKLYN
01162004,M,B,20,BROOKLYN
01172004,M,B,48,BROOKLYN
