019700,86,"1,537",18,410,1,58,106,"5,285"
019900,117,"2,387",17,31,0,27,48,"5,527"
020000,376,369,27,"1,375",0,37,66,"2,628"
020100,54,"1,412",9,16,0,9,40,"2,473"
020200,253,211,2,302,2,58,26,"1,301"
020400,296,302,14,341,4,67,52,"1,900"
020501,79,"2,616",19,20,3,12,59,"4,188"
020502,35,550,2,3,0,4,15,"1,155"
020601,269,368,15,497,0,87,88,"1,726"
020900,68,"1,415",10,22,1,12,38,"2,795"
021001,285,"4,330",17,475,10,42,132,"3,230"
021002,201,"3,512",17,626,0,23,163,"2,297"
021100,69,"1,994",7,20,1,10,32,"3,432"
021200,222,"2,036",15,"1,203",0,28,123,"1,640"
021301,19,218,1,1,0,7,4,951
021302,45,"2,084",16,30,1,7,24,"3,208"
021501,31,957,5,10,1,12,7,"2,483"
021502,91,"1,775",14,13,1,4,42,"4,111"
021601,255,939,8,188,0,55,44,"2,717"
021602,194,"2,387",15,920,0,23,123,"2,107"
021700,151,"2,292",11,40,1,17,34,"2,788"
021800,269,"1,717",17,178,0,48,86,"4,184"
021900,15,307,2,14,0,0,5,"1,024"
022000,19,325,6,35,0,22,9,"1,071"
022101,34,804,8,90,1,20,27,"2,865"
022102,71,689,15,42,4,31,40,"4,596"
022200,203,500,9,497,1,55,70,"2,090"
022300,66,883,9,39,1,31,55,"3,963"
022401,482,395,1,170,0,32,38,"1,590"
022403,634,486,7,98,1,8,61,"1,893"
022404,"1,102",690,5,383,0,45,105,"2,179"
022500,84,"2,277",11,97,1,17,39,"5,172"
022701,68,"1,678",13,26,0,22,52,"3,337"
022702,33,447,13,82,0,30,31,"1,063"
022703,32,286,0,98,0,10,16,"1,114"
022800,"1,421",874,28,675,1,43,103,"3,073"
022901,90,"1,325",17,318,10,86,95,"3,429"
022902,25,880,9,39,0,22,16,"2,282"
023000,516,367,8,267,8,33,70,"1,681"
023100,28,537,1,2,0,1,8,960
023200,679,211,6,231,0,40,39,"1,455"
023301,43,"1,505",5,40,0,19,15,"2,750"
023302,28,501,8,48,6,13,21,"2,790"
023501,25,577,12,60,4,33,32,"2,598"
023502,67,843,24,130,1,31,55,"3,235"
023600,363,257,5,72,0,25,31,"1,154"
023702,28,244,0,7,0,0,4,958
023703,113,"1,084",13,41,0,25,27,"3,950"
023704,50,858,17,10,0,15,18,"2,790"
023800,501,275,4,166,1,26,38,"1,604"
023900,138,"1,693",26,66,0,44,70,"6,311"
024000,279,946,9,99,0,46,46,"2,457"
024100,66,"1,642",9,36,5,25,68,"4,331"
024300,56,"1,582",12,58,1,18,34,"3,924"
024400,"1,060",77,1,163,5,18,25,771
024501,66,"1,014",3,16,0,12,40,"3,713"
024502,41,902,4,8,0,9,41,"2,635"
024600,914,125,5,327,0,19,22,646
024700,39,834,2,34,0,8,25,822
024800,"1,723",210,1,504,2,11,31,881
024900,0,0,0,0,0,0,0,0
025000,"1,568",26,3,263,0,11,17,495
025100,75,"1,568",19,473,4,24,63,"4,576"
025200,"1,344",138,15,246,0,22,27,738
025300,93,"1,091",20,333,0,38,65,"4,692"
025400,"1,339",45,0,174,0,8,23,370
025500,158,"1,060",9,209,1,13,41,"5,038"
025600,552,239,2,118,1,13,18,720
025700,37,390,1,4,0,17,14,"1,449"
026100,160,"1,074",2,70,0,4,20,602
026300,605,"1,208",10,257,1,22,75,"4,806"
026400,"2,630",179,2,197,0,27,50,"1,850"
026500,219,835,4,571,0,33,92,"5,188"
026601,"1,513",130,0,108,2,20,21,"1,117"
026602,"2,478",253,13,193,0,18,64,"2,282"
